Name,Type
Cloud Computing Architecture,Software
Web Crawling and Scraping,Software
API Calls,Software
SQL,Software
Data Analytics,Software
LLM Chatbots,Software
Prompt Engineering (App Building),Software
VR Avatars,Software
Metaverse,Software
Product End-to-End,Software
RAG,Software
